whole,part,jj,label,bin_label
zebra,mouth,brown,2,0
field,section,overgrown,3,1
bird,beak,white,2,0
baseball player,arm,poor,0,0
counter,cabinet,clean,3,1
donut,hole,plain,4,1
cart,wheel,heavy,1,1
squirrel,nose,young,4,1
airplane,door,white,3,1
flower,stem,beautiful,3,1
airplane,door,conventional,4,1
broccoli,top,raw,4,1
tree,limb,old,3,1
elephant,nail,red,1,0
window,pane,broken,3,1
racket,head,awful,3,1
hydrant,bottom,open,3,1
sign,back,positive,0,0
surfboard,spot,purple,2,0
train,track,electric,4,1
woman,cap,poor,0,0
tree,hole,hollow,2,0
animal,beak,brown,2,0
microwave,light,reflective,2,0
lighthouse,door,famous,4,1
leaf,tree,dead,2,0
train,cargo,regular,0,0
background,cloud,white,2,0
girl,cap,poor,2,0
cow,shadow,old,2,0
person,band,responsible,2,0
zebra,mouth,female,4,1
horse,neck,old,4,1
jar,cap,empty,3,1
lake,edge,green,3,1
hydrant,bottom,black,3,1
dog,tooth,sweet,2,0
batter,nose,smooth,2,0
elephant,nose,red,4,1
kite,design,electrical,1,0
horizon,tree,distant,3,1
ear,hair,floppy,2,0
guy,cap,old,2,0
bread,meat,sliced,2,0
car,edge,used,4,1
dog,eyebrow,shaggy,3,1
building,tower,old,4,1
wetsuit,stripe,black,0,0
man,gun,poor,0,0
orange,center,round,3,1
building,sign,brown,2,0
bowl,bean,golden,2,0
kitten,ear,newborn,4,1
skateboard,tire,giant,2,0
window,pane,high,4,1
truck,door,open,3,1
goose,eye,golden,1,0
kite,design,old,4,1
motorbike,mirror,grey,2,0
roof,tile,decorative,4,1
background,cloud,social,0,0
racket,letter,awful,2,0
guy,racket,old,2,0
truck,back,old,4,1
plane,middle,white,3,1
boy,shoulder,young,4,1
photo,horse,aerial,0,0
baseball player,arm,one,0,0
cup,wine,empty,4,1
kitten,ear,tiny,4,1
balcony,door,private,4,1
leaf,tree,green,3,1
tail,design,grey,2,0
woman,smile,beautiful,4,1
banner,writing,white,0,0
candle,wick,yellow,2,0
dog,shadow,sweet,2,0
beach,rock,sandy,2,0
guy,cap,poor,2,0
car,glass,white,1,0
banner,part,sacred,4,0
clock face,hand,beautiful,3,1
elephant,nose,wild,4,1
person,thigh,human,4,1
mixer,bowl,white,2,0
calf,head,white,3,1
storefront,door,empty,3,1
fire hydrant,bottom,public,4,1
puppy,face,sick,4,1
plane,door,horizontal,3,1
swan,head,white,3,1
dog,shadow,mad,0,0
person,eye,responsible,0,0
microwave,light,passive,4,1
bus,lettering,old,3,1
goose,eye,wild,4,1
dude,hair,cool,2,0
face,number,beautiful,3,0
giraffe,pattern,brown,4,1
bookcase,shelf,wooden,4,1
surfboard,spot,regular,2,0
wall,molding,white,2,0
motorbike,mirror,powerful,2,0
salad,lettuce,fresh,4,1
fire hydrant,bottom,white,3,1
jar,cap,homemade,3,1
stand,wheel,strong,4,1
girl,skirt,old,2,0
car,lettering,open,0,0
bike,frame,old,3,1
bike,plate,red,1,0
ground,patch,dry,4,1
elephant,reflection,wild,2,1
bus,stripe,old,3,1
sidewalk,design,narrow,4,1
banner,writing,royal,4,1
giraffe,jaw,young,4,1
kid,helmet,white,2,0
surfer,shirt,male,0,0
ground,leaf,white,2,0
window,screen,open,2,0
bear,snout,white,3,0
face,fur,handsome,4,1
man,arm,poor,0,0
truck,back,open,4,1
dog,blanket,white,2,0
orange,center,deep,2,0
suv,plate,long,2,0
kid,helmet,nice,2,0
dog,blanket,old,2,0
tree,bark,old,4,1
horizon,tree,white,1,0
scissors,grip,sharp,0,0
truck,door,old,4,1
field,player,open,0,0
sign,screw,black,3,0
pizza,pepperoni,cold,4,1
vehicle,wheel,important,1,0
bookcase,shelf,tall,3,1
person,eye,human,3,1
girl,coat,poor,0,0
button,part,delete,2,0
airport,window,busy,1,1
window,reflection,broken,4,1
boat,person,old,2,0
girl,knee,old,4,1
letter,part,circular,2,0
horse,body,attached,3,1
building,tower,public,3,1
skateboard,wheel,giant,3,1
wall,frame,white,2,0
peak,snow,sharp,0,0
person,mole,human,4,1
surfboard,sticker,white,2,0
