whole,part,jj,label,bin_label,response0,response1,response2,response3,response4
biker,head,safe,4,1,0,4,4
animal,tail,young,4,1,4,4,4
post,sign,old,3,1,3,2,3
lady,shoe,seated,0,0,0,0,3
pigeon,foot,young,4,1,4,4,4
toilet,bowl,closed,4,1,4,4,4
female,head,human,4,1,4,4,4
chandelier,shade,massive,1,0,1,3,1
laptop,speaker,wireless,4,1,1,4,4
jar,straw,white,2,0,2,2,2
bowl,carrot,golden,2,0,2,1,2
sink,handle,old,3,1,3,3,4
plane,fin,white,3,1,3,3,4
person,body,responsible,0,0,4,0,0
train,locomotive,fast,4,1,4,4,4
wall,frame,white,2,0,3,2,2,2,2
sheep,foot,fat,3,1,3,3,0
water,reflection,warm,0,0,0,0,0
sidewalk,line,white,4,1,4,2,4
fountain,water,silver,0,0,0,0,0
tennis court,shadow,open,0,0,0,0,0
grass,part,high,4,1,4,4,4
sink,bottom,grey,4,1,4,3,4
tablecloth,design,plastic,4,1,3,4,4
mirror,part,magic,4,1,4,3,4
plane,window,vertical,4,1,4,4,2
ground,water,dry,0,0,0,0,0
airplane,back,white,3,1,3,3,3
platform,line,gray,1,0,1,2,1
arm,hand,broken,2,0,2,3,2
girl,bag,pretty,2,0,2,2,2
shirt,arm,clean,4,1,2,4,4
trash can,lid,tilted,4,1,4,4,4
door,top,white,3,1,3,4,3
arm,band,long,2,0,2,2,1
water,side,calm,4,1,4,4,3
kite,handle,blue,2,0,3,2,2
wave,splash,white,2,0,2,1,2
rack,bar,basic,4,1,4,3,4
stand,shelf,strong,4,1,4,4,1
bull,nose,brown,2,0,2,2,2
sandwich,bread,grilled,4,1,4,4,3
skateboarder,hand,young,4,1,4,4,4
egg,yolk,white,1,0,4,1,1
ground,stone,dry,4,1,4,4,3
sweatshirt,stripe,blue,1,0,1,1,1
plate,ridge,round,4,1,3,4,4
cow,stripe,old,4,1,4,4,3
tree,base,tall,3,1,0,3,3
water,reflection,rippled,4,1,4,4,4
building,ledge,old,4,1,4,4,4
window,cat,clean,2,0,2,2,2
clock,word,tall,2,0,2,2,3
zebra,ear,dead,4,1,4,4,4
wall,hook,high,2,0,2,2,3
bowl,apple,golden,2,0,2,2,2
building,number,public,4,1,4,4,4
bird,breast,male,4,1,4,4,4
traffic light,arrow,bright,3,1,3,3,4
grass,field,dry,4,1,4,4,4
apple,spot,fresh,3,1,3,3,1
house,doorway,private,4,1,4,4,4
mirror,part,concave,4,1,4,3,4
wineglass,base,inverted,4,1,4,1,4
car,front,old,4,1,4,4,3
