whole,part,jj,result1,result2,result3
ground,pebble,white,unrelated,guaranteed,impossible
ground,pebble,dry,unrelated,guaranteed,unlikely
court,man,tan,impossible,unrelated,unrelated
court,man,white,unlikely,unrelated,unrelated
court,man,sandy,unlikely,unrelated,probably
court,man,open,pjj-nonsense,unrelated,pjj-nonsense
duck,eye,fat,impossible,probably,impossible
duck,eye,white,unlikely,unrelated,probably
pole,tip,metallic,guaranteed,guaranteed,guaranteed
pole,tip,long,impossible,impossible,guaranteed
pole,tip,green,guaranteed,guaranteed,guaranteed
pole,tip,posterior,guaranteed,guaranteed,pjj-nonsense
vase,daisy,red,unrelated,unrelated,impossible
woman,sandal,poor,pjj-nonsense,unrelated,unrelated
bouquet,rose,lovely,guaranteed,probably,probably
bouquet,rose,tall,guaranteed,probably,probably
bouquet,rose,fresh,guaranteed,guaranteed,guaranteed
bouquet,rose,red,guaranteed,guaranteed,guaranteed
bouquet,rose,huge,guaranteed,unrelated,probably
bouquet,rose,enormous,guaranteed,unrelated,probably
bouquet,rose,beautiful,guaranteed,guaranteed,probably
airport,runway,long,unrelated,guaranteed,probably
airport,runway,busy,probably,guaranteed,guaranteed
groom,face,old,guaranteed,guaranteed,guaranteed
groom,face,young,guaranteed,guaranteed,guaranteed
groom,face,happy,guaranteed,guaranteed,probably
groom,face,poor,pjj-nonsense,impossible,pjj-nonsense
groom,face,english,guaranteed,unlikely,guaranteed
groom,face,handsome,guaranteed,guaranteed,guaranteed
couch,flower,white,unlikely,unlikely,guaranteed
couch,flower,old,guaranteed,guaranteed,guaranteed
couch,flower,soft,impossible,guaranteed,guaranteed
couch,flower,wooden,impossible,guaranteed,guaranteed
couch,flower,low,impossible,guaranteed,guaranteed
tie,square,blue,unlikely,probably,probably
tie,square,strong,pjj-nonsense,unrelated,probably
computer,mouse,grey,probably,probably,unrelated
computer,mouse,remote,guaranteed,pjj-nonsense,guaranteed
bench,frame,hard,probably,guaranteed,guaranteed
bench,frame,wooden,probably,guaranteed,probably
bench,frame,federal,guaranteed,guaranteed,guaranteed
bench,frame,gray,probably,probably,unrelated
bench,frame,judicial,pjj-nonsense,unrelated,pjj-nonsense
bench,frame,long,guaranteed,guaranteed,guaranteed
bench,frame,concrete,probably,guaranteed,unlikely
clock,arm,internal,guaranteed,unrelated,guaranteed
clock,arm,old,probably,guaranteed,probably
clock,arm,antique,guaranteed,guaranteed,probably
clock,arm,green,unrelated,unrelated,unrelated
fireplace,mantle,white,probably,impossible,probably
fireplace,mantle,old,probably,guaranteed,guaranteed
fireplace,mantle,huge,probably,probably,guaranteed
fireplace,mantle,dark,probably,unlikely,unrelated
fireplace,mantle,empty,unrelated,wjj-nonsense,unrelated
fireplace,mantle,wide,probably,guaranteed,guaranteed
clock,top,tall,guaranteed,guaranteed,guaranteed
clock,top,antique,guaranteed,guaranteed,guaranteed
clock,top,old,guaranteed,guaranteed,guaranteed
clock,top,green,probably,probably,probably
knee,spot,bare,guaranteed,guaranteed,pjj-nonsense
knee,spot,round,probably,unrelated,unlikely
knee,spot,injured,impossible,pjj-nonsense,guaranteed
sofa,arm,comfortable,probably,guaranteed,unrelated
sofa,arm,long,unrelated,probably,unlikely
sofa,arm,white,probably,guaranteed,probably
sofa,arm,old,guaranteed,guaranteed,guaranteed
skier,cap,excellent,unrelated,unrelated,unrelated
chair,part,comfortable,probably,guaranteed,unrelated
chair,part,slender,unrelated,unrelated,guaranteed
chair,part,purple,probably,probably,guaranteed
chair,part,empty,probably,guaranteed,unrelated
animal,nostril,human,guaranteed,wjj-nonsense,pjj-nonsense
television,knob,black,unrelated,probably,probably
television,knob,long,unlikely,unlikely,unlikely
woman,shoulder,beautiful,pjj-nonsense,unrelated,probably
woman,shoulder,poor,pjj-nonsense,pjj-nonsense,unrelated
motorcycle,tire,used,probably,probably,guaranteed
motorcycle,tire,old,probably,unrelated,guaranteed
motorcycle,tire,red,unlikely,unrelated,unrelated
short,part,dead,wjj-nonsense,guaranteed,pjj-nonsense
short,part,electrical,wjj-nonsense,guaranteed,probably
short,part,blue,guaranteed,guaranteed,probably
short,part,unsigned,guaranteed,guaranteed,guaranteed
short,part,long,unrelated,guaranteed,probably
gazebo,roof,white,unrelated,guaranteed,unrelated
gazebo,roof,old,probably,guaranteed,probably
gazebo,roof,wooden,probably,guaranteed,probably
goat,hoof,white,unlikely,probably,unlikely
goat,hoof,old,guaranteed,guaranteed,guaranteed
tower,pillar,tall,probably,guaranteed,guaranteed
tower,pillar,white,probably,probably,probably
tower,pillar,old,probably,probably,guaranteed
tower,pillar,round,unrelated,unrelated,probably
tower,pillar,high,guaranteed,guaranteed,guaranteed
tower,pillar,lofty,guaranteed,guaranteed,guaranteed
ceiling,hole,high,unrelated,probably,guaranteed
ceiling,hole,white,unlikely,guaranteed,guaranteed
ceiling,hole,flat,unrelated,guaranteed,guaranteed
ceiling,hole,low,unrelated,guaranteed,guaranteed
boat,section,white,probably,probably,probably
boat,section,old,guaranteed,guaranteed,guaranteed
boat,section,wooden,guaranteed,guaranteed,guaranteed
boat,section,open,guaranteed,impossible,guaranteed
boat,section,tiny,unrelated,probably,guaranteed
paw,nail,huge,guaranteed,guaranteed,probably
paw,nail,white,probably,unrelated,unlikely
paw,nail,heavy,probably,unlikely,unlikely
wave,water,huge,guaranteed,guaranteed,pjj-nonsense
wave,water,white,unlikely,guaranteed,unlikely
engine,edge,stationary,guaranteed,guaranteed,guaranteed
engine,edge,old,guaranteed,probably,probably
engine,edge,powerful,unlikely,impossible,guaranteed
engine,edge,blue,probably,unrelated,probably
engine,edge,internal,guaranteed,guaranteed,guaranteed
umpire,uniform,white,unrelated,unrelated,unrelated
umpire,uniform,permanent,unrelated,unrelated,impossible
track,rock,blue,unrelated,unlikely,unrelated
track,rock,old,unrelated,unrelated,unrelated
track,rock,narrow,unrelated,unrelated,unrelated
tree,shade,tall,guaranteed,guaranteed,unrelated
tree,shade,old,impossible,impossible,pjj-nonsense
tree,shade,green,unrelated,impossible,impossible
tree,shade,hollow,pjj-nonsense,impossible,probably
building,stripe,original,unrelated,unrelated,probably
building,stripe,brown,unlikely,impossible,probably
building,stripe,fine,probably,unrelated,wjj-nonsense
building,stripe,old,probably,probably,probably
grass,dirt,high,unlikely,pjj-nonsense,guaranteed
grass,dirt,long,unrelated,impossible,guaranteed
grass,dirt,green,impossible,unlikely,impossible
grass,dirt,dry,probably,probably,guaranteed
bench,railing,hard,probably,guaranteed,guaranteed
bench,railing,wooden,probably,probably,guaranteed
bench,railing,gray,probably,probably,guaranteed
bench,railing,long,guaranteed,probably,guaranteed
bench,railing,concrete,probably,unlikely,probably
kitchen,appliance,old,unrelated,unrelated,probably
giraffe,teeth,brown,unlikely,impossible,unrelated
giraffe,teeth,tall,unrelated,impossible,unrelated
giraffe,teeth,young,guaranteed,guaranteed,guaranteed
building,spire,brown,probably,probably,probably
building,spire,tall,probably,guaranteed,unrelated
building,spire,old,probably,guaranteed,probably
building,spire,fine,wjj-nonsense,guaranteed,probably
building,spire,original,probably,guaranteed,unrelated
shop,roof,antique,probably,unrelated,probably
shop,roof,white,unrelated,probably,probably
shop,roof,old,probably,probably,probably
black cat,whisker,white,probably,unrelated,wjj-nonsense
woman,tag,poor,pjj-nonsense,pjj-nonsense,unrelated
man,short,poor,nonsense,unrelated,impossible
table,reflection,white,unrelated,probably,probably
table,reflection,long,guaranteed,unrelated,probably
table,reflection,above,unrelated,pjj-nonsense,probably
cloth,stripe,clean,probably,guaranteed,guaranteed
cloth,stripe,white,unrelated,unlikely,impossible
picture,reflection,true,unrelated,guaranteed,guaranteed
picture,reflection,clinical,pjj-nonsense,guaranteed,guaranteed
picture,reflection,black,probably,guaranteed,guaranteed
picture,reflection,clear,probably,guaranteed,unrelated
picture,reflection,vivid,probably,guaranteed,unrelated
food,cheese,raw,probably,unrelated,probably
food,cheese,chinese,unrelated,unrelated,impossible
table,book,white,unrelated,unrelated,unrelated
table,book,metal,unlikely,unrelated,impossible
table,book,above,wjj-nonsense,guaranteed,probably
table,book,accompanying,pjj-nonsense,unrelated,probably
table,book,long,unrelated,unrelated,unlikely
shirt,hood,clean,guaranteed,guaranteed,guaranteed
shirt,hood,white,probably,probably,probably
person,beard,human,guaranteed,unrelated,guaranteed
bed,cover,comfortable,probably,probably,probably
bed,cover,warm,guaranteed,probably,guaranteed
bed,cover,wooden,unrelated,impossible,impossible
bed,cover,dry,guaranteed,probably,guaranteed
bed,cover,narrow,guaranteed,unlikely,probably
asphalt,line,wet,guaranteed,guaranteed,guaranteed
asphalt,line,liquid,guaranteed,guaranteed,pjj-nonsense
asphalt,line,hot,guaranteed,guaranteed,guaranteed
asphalt,line,black,unlikely,unlikely,impossible
asphalt,line,natural,unrelated,unlikely,impossible
he,shirt,brown,impossible,unrelated,unrelated
leaf,hole,dead,impossible,impossible,pjj-nonsense
leaf,hole,blank,unrelated,pjj-nonsense,unlikely
leaf,hole,green,impossible,guaranteed,impossible
