whole,part,jj,label,bin_label
fire truck,ladder,open,2,0
building,hole,brown,3,1
truck,emblem,old,3,1
ramp,edge,concrete,3,1
plate,food,white,2,0
batter,nose,slight,2,0
black cat,eye,old,4,1
clock,statue,tall,3,1
plant,stem,young,4,1
bookcase,shelf,white,3,1
sign,person,positive,3,1
wall,light,anterior,4,1
garage,window,public,4,1
building,entry,public,4,1
man,drink,poor,2,0
tree,apple,green,2,0
light,face,dim,4,1
dog,shadow,old,2,0
nose,nostril,long,3,0
fire hydrant,hole,open,2,0
letter,part,asian,2,0
racket,white,tremendous,2,0
mouse,light,dead,4,1
bridge,guardrail,wooden,3,1
girl,cap,pretty,2,0
hat,logo,old,4,1
toy,hat,broken,1,0
floor,edge,grey,3,1
plate,dot,white,2,0
vase,base,crystal,4,1
bookcase,shelf,low,3,1
bike,frame,used,4,1
motorcycle,wheel,red,2,0
window,screen,high,4,1
horse,collar,old,2,0
man,sandwich,poor,2,0
crust,bubble,thick,3,1
engine,roof,old,3,1
hill,peak,bare,3,1
pencil,eraser,sharp,1,0
window,screen,square,4,1
woman,purse,beautiful,2,0
sink,hole,grey,2,0
cell phone,screen,black,1,0
building,bell,original,3,1
oven,control,black,2,0
woman,face,elderly,4,1
umbrella,color,white,4,1
horse,leg,dead,4,1
bird,back,old,4,1
sidewalk,brick,narrow,2,0
sand,ripple,white,4,1
car,glass,white,1,0
window,light,open,0,0
fire truck,ladder,old,3,1
cage,door,golden,3,1
girl,lip,old,4,1
girl,knee,pretty,2,0
light,face,lit,4,1
kid,jacket,young,3,1
desk,computer,massive,2,0
branch,twig,anterior,4,1
candle,wick,thin,4,1
panda,leg,white,2,0
laptop,light,black,0,0
branch,needle,thin,3,1
dog,blanket,old,2,0
giraffe,pattern,brown,4,1
background,people,cultural,2,0
airplane,bottom,white,2,0
cage,door,wooden,2,0
bench,leg,hard,4,1
bag,tag,black,1,0
fire hydrant,base,white,3,1
bridge,arch,wooden,3,1
library,window,white,1,0
dog,eyebrow,shaggy,3,1
racket,letter,terrific,2,0
head,stripe,dark,1,0
cat,paw,white,3,1
snow,line,heavy,2,0
girl,lip,pretty,3,1
person,hood,human,0,0
elephant,tail,gold,4,1
dog,tooth,white,2,0
airport,window,long,2,0
vase,base,black,3,1
horse,body,dead,4,1
bus,bottom,black,2,1
horse,leg,blue,3,1
bear,glass,white,2,0
animal,nose,wild,4,1
hill,peak,long,3,1
window,line,broken,2,0
horizon,tree,distant,4,1
fork,tip,plastic,4,1
tree,light,green,2,0
toddler,eye,healthy,4,1
tree,hole,hollow,4,1
bear,snout,white,3,1
ground,leaf,sandy,2,0
tennis player,ear,professional,2,0
giraffe,eye,young,4,1
lamb,ear,young,4,1
window,light,clean,2,0
scale,dial,round,2,0
street,lane,long,4,1
child,arm,young,4,1
fence,pole,barbed,2,0
blow dryer,cord,white,2,0
garage,window,open,2,0
bed,rail,warm,2,0
train,track,red,2,0
boy,shoulder,young,4,1
building,sign,brown,2,0
bus,rim,yellow,1,0
refrigerator,dispenser,open,2,0
floor,edge,wooden,3,1
man,flag,poor,2,0
candle,wick,flickering,4,1
street,lane,narrow,4,1
bench,hole,gray,4,1
suv,plate,long,2,0
tree,root,hollow,2,0
jockey,helmet,famous,2,0
glass,drink,empty,4,1
railroad,track,empty,4,1
sand,pebble,dry,3,1
elephant,nose,young,4,1
handle,hole,white,0,0
goose,eye,fat,1,0
thumb,fingernail,red,1,0
horse,body,old,4,1
floor,edge,concrete,3,1
cupboard,window,dark,2,0
racket,letter,awful,2,0
building,hole,tall,2,0
court,net,open,2,0
kid,helmet,nice,2,0
vehicle,wheel,electric,3,1
truck,toolbox,open,2,0
batter,nose,thick,2,0
tire,reflector,black,1,0
counter,cabinet,electronic,2,0
bike,plate,red,1,0
girl,hair,old,4,1
shoe,symbol,white,1,0
face,fur,yellow,4,1
building,stair,old,3,1
boat,keel,white,3,1
background,cloud,white,2,0
bike,plate,old,2,0
building,bell,public,4,1
racket,head,red,3,1
motorcycle,shield,old,3,1
wall,spot,white,2,0
cow,foot,dead,4,1
bag,strap,black,3,1
jar,cap,sealed,4,1
giraffe,neck,tall,4,1
pole,chain,metallic,2,0
bed,rail,narrow,3,1
horse,neck,black,3,1
can,utensil,old,2,0
stand,wheel,gray,2,0
room,corner,darkened,4,1
zebra,mouth,female,4,1
room,corner,private,4,1
truck,door,open,3,1
adult,foot,human,4,1
salad,lettuce,fresh,4,1
tail,hair,straight,3,1
adult,foot,healthy,4,1
building,garage,public,3,1
airplane,door,american,4,1
train,number,electric,0,0
dog,eyebrow,white,2,0
neck,necklace,long,2,0
plant,stem,green,4,1
jockey,helmet,yellow,2,0
sailboat,mast,white,2,1
water,buoy,blue,1,0
girl,coat,old,2,0
broccoli,top,round,3,1
bird,feather,white,3,1
boat,person,old,2,0
glass,straw,broken,2,0
pond,water,frozen,4,1
candle,wick,lighted,4,1
tree,light,hollow,0,0
broccoli,top,raw,4,1
kid,helmet,white,2,0
railroad,track,old,2,0
car,lettering,silver,0,0
garage,window,old,3,1
glass,frame,used,3,1
window,light,broken,0,0
wall,rock,white,3,1
background,people,social,2,0
fire hydrant,knob,broken,2,0
tree,limb,tall,3,1
bookcase,book,low,2,0
girl,body,beautiful,3,1
girl,nose,beautiful,3,1
duck,beak,white,1,0
girl,hair,beautiful,3,1
sand,track,white,4,1
wallpaper,stripe,tan,2,0
apple,skin,shiny,4,1
bridge,support,wooden,2,0
truck,door,white,3,1
girl,body,old,4,1
bus,trim,external,4,1
sand,track,dirty,4,1
candle,wick,yellow,2,0
leaf,stem,dead,4,1
dove,foot,wild,4,1
railroad,track,electric,3,1
leaf,stem,reddish,3,1
refrigerator,side,mechanical,0,0
fire hydrant,bottom,public,4,1
truck,side,old,3,1
horse,collar,black,2,0
building,facade,old,3,1
bottle,beer,hot,4,1
oven,control,moderate,4,1
window,pane,high,4,1
kite,tail,old,3,1
racket,white,red,2,0
boat,keel,old,4,1
boat,person,wooden,0,0
horse,stomach,old,4,1
stand,wheel,old,3,1
floor,pattern,wooden,3,1
banner,writing,sacred,4,1
vase,base,porcelain,3,1
surfboard,sticker,old,3,1
bus,emblem,black,1,0
bear,hump,white,3,1
elephant,face,gold,4,1
city,building,ancient,3,1
horse,part,blue,3,1
wall,frame,white,2,0
boat,rope,tiny,2,0
mouse,light,white,1,0
branch,needle,long,2,0
fire truck,ladder,red,2,0
tree,branch,tall,3,1
plane,lettering,white,1,0
giraffe,stripe,brown,4,0
stand,wheel,wooden,1,0
adult,foot,young,4,1
wall,light,white,2,0
train,number,long,1,0
clock,time,antique,0,0
horizon,tree,white,0,0
window,light,brown,2,0
shirt,pattern,clean,4,1
horse,rope,attached,4,1
bridge,edge,old,4,1
wetsuit,stripe,dark,2,0
cat,paw,old,4,1
car,edge,silver,4,1
aircraft,window,american,4,1
beach,rock,sandy,2,0
puppy,face,lost,4,1
window,reflection,brown,3,1
giraffe,bump,brown,3,1
shore,rock,green,1,0
surfboard,spot,old,2,0
tree,hole,old,3,1
boy,bracelet,nice,2,0
guy,hair,young,4,1
computer monitor,screen,grey,2,0
bicycle,frame,stationary,4,1
carrot,leaf,orange,0,0
bench,leg,long,2,0
giraffe,pattern,young,4,1
neck,necklace,short,2,0
girl,camera,old,2,0
cupboard,window,closed,4,1
train,cart,electric,3,1
panda,leg,young,4,1
balcony,door,white,2,0
toothbrush,bristle,white,2,0
bridge,arch,metal,3,1
bus,stripe,old,3,1
ground,leaf,white,2,0
train,red,long,3,1
guy,cap,young,2,0
batter,shoe,stiff,2,0
short,pocket,blue,3,1
kite,tail,high,4,1
tree,limb,green,1,0
ground,patch,sandy,3,1
skateboard,tire,old,3,1
train,cart,slow,4,1
handle,hole,short,3,1
big ben,clock,old,3,1
lamb,ear,white,3,1
plane,middle,white,4,1
cow,thigh,white,3,1
vehicle,mirror,yellow,1,0
motorcycle,pipe,used,4,1
wall,molding,white,2,0
batter,shoe,thick,2,0
surfboard,symbol,miniature,2,0
swan,head,white,3,1
toilet,water,indoor,4,1
road,curb,old,4,1
dog,eyebrow,old,4,1
building,garage,original,3,1
bus,logo,black,1,0
giraffe,neck,stuffed,4,1
bus,lettering,old,3,1
bridge,edge,wooden,4,1
cow,shadow,old,2,0
teddy,ear,brown,3,1
bookcase,book,tall,1,0
glass,straw,colored,2,0
cake,icing,sweet,3,1
player,hand,key,3,1
wallpaper,stripe,gold,2,1
horse,rope,blue,2,0
building,tower,original,4,1
racket,head,terrific,4,1
lighthouse,door,famous,4,1
batter,shoe,thin,2,0
girl,lip,beautiful,3,1
boat,person,white,2,0
tree,bark,tall,4,1
case,wheel,black,2,0
concrete,line,gray,2,0
refrigerator,door,domestic,4,1
hoodie,pocket,red,4,1
motorcycle,number,indian,2,0
girl,coat,pretty,2,0
cell phone,screen,public,4,1
bus,emblem,old,3,1
dove,foot,white,1,0
cow,shadow,white,0,0
bottle,beer,empty,4,1
woman,foot,beautiful,3,1
fire hydrant,bottom,broken,2,0
toddler,eye,young,4,1
sidewalk,design,white,1,0
swan,head,beautiful,3,1
bus,bottom,public,4,1
shirt,pocket,red,3,1
horse,part,old,4,1
suv,window,white,1,0
hill,peak,steep,4,1
head,nose,dark,3,1
finger,fingernail,long,2,0
tree,leave,old,0,0
fire hydrant,hole,white,3,1
handle,hole,long,3,1
aircraft,tail,commercial,4,1
adult,foot,mature,4,1
broccoli,top,fresh,4,1
television,screen,public,4,1
motorcycle,number,red,2,0
puppy,face,sick,3,1
fork,tip,metal,4,1
toy,hat,favourite,3,1
refrigerator,door,old,4,1
ramp,edge,long,4,1
apple,end,rotten,3,1
truck,back,white,3,1
toddler,eye,pink,2,0
guy,cap,nice,2,0
letter,part,blue,4,1
locomotive,headlight,red,1,0
woman,hat,beautiful,2,0
bench,hole,wooden,3,1
motorbike,mirror,grey,3,0
sign,screw,black,3,0
tree,bark,hollow,0,0
pole,chain,green,2,0
elephant,nail,gold,2,0
button,part,round,4,1
clock,statue,old,3,1
motorcycle,wheel,old,3,1
motorcycle,number,old,3,1
horse,rope,dead,0,0
horse,stomach,black,3,1
boat,keel,wooden,4,1
sofa,leg,long,2,0
glass,temple,clear,1,0
jockey,helmet,english,2,0
animal,beak,brown,2,0
cow,horn,dead,4,1
puppy,face,young,4,1
cart,wheel,heavy,3,0
toothbrush,bristle,soft,4,1
airplane,door,conventional,4,1
girl,body,pretty,3,1
dude,hair,young,4,1
bridge,support,old,3,1
car,glass,silver,1,0
building,tower,brown,4,1
bookcase,book,old,2,0
shirt,blue,clean,4,1
aeroplane,cockpit,german,4,1
racket,letter,terrible,2,0
surfboard,sticker,white,2,0
cow,horn,white,2,0
city,building,busy,3,1
tree,light,old,2,0
suit,tie,dark,2,0
bus,trim,colorful,3,1
boat,canopy,tiny,4,1
bicycle,helmet,old,2,0
horse,neck,old,4,1
concrete,line,plain,3,1
shore,rock,distant,4,1
hat,logo,white,1,0
boat,tarp,old,3,0
batter,nose,smooth,2,0
truck,back,old,4,1
bird,beak,old,4,1
light,face,bright,4,1
plant,stem,old,4,1
fire hydrant,rust,red,2,0
glass,straw,clear,2,0
building,entry,old,3,1
skateboard,wheel,old,3,1
sand,pebble,wet,3,1
couch,leg,white,1,0
shirt,pocket,clean,3,1
wing,flap,white,3,1
girl,cap,beautiful,2,0
hydrant,bottom,black,3,1
lighthouse,door,distant,4,1
woman,foot,elderly,4,1
neck,necklace,white,2,0
airplane,bottom,light,3,1
tennis court,line,white,1,0
polar bear,fur,white,4,1
water,ripple,blue,4,1
water,ripple,clear,3,1
library,window,private,4,1
window,light,high,4,1
hill,peak,low,4,1
window,reflection,high,4,1
ground,patch,fertile,3,1
face,number,beautiful,3,1
desk,computer,old,2,0
bridge,support,long,2,0
snow,line,deep,3,1
train,track,slow,2,0
plate,pizza,round,2,0
sleeve,logo,white,1,0
building,facade,brown,4,1
motorcycle,pipe,black,2,0
balcony,door,private,4,1
female,ring,human,0,0
horse,body,blue,4,1
cupboard,window,open,4,1
table,spot,white,2,0
plate,food,round,2,0
leaf,tree,dry,3,1
pillow,print,soft,2,0
sailboat,mast,tall,4,1
bread,meat,fresh,2,0
surfboard,symbol,giant,2,0
nose,nostril,human,4,1
sign,lettering,negative,3,1
wall,spot,anterior,4,1
hill,peak,tall,4,1
fire hydrant,bottom,open,1,0
bicycle,helmet,high,2,0
fence,pole,low,4,1
phone,keyboard,portable,4,1
zebra,mouth,brown,2,0
snow,line,tall,2,0
bus,rim,old,3,1
snow,line,fresh,3,1
shirt,patch,clean,3,1
suv,plate,white,2,0
table,glass,white,2,0
vase,base,greek,4,1
toilet,water,clear,3,1
airplane,back,white,3,1
boat,canopy,white,2,1
people,coat,old,2,0
train,lettering,red,2,0
calf,head,newborn,4,1
dude,hair,caucasian,4,1
apple,end,fresh,4,1
hydrant,bottom,open,3,1
dove,beak,white,2,0
calf,head,white,3,1
skateboard,wheel,oversized,3,1
oven,front,hot,3,1
controller,strap,black,3,0
bear,glass,fake,2,0
microwave,light,private,4,1
teddy bear,tie,white,2,0
parking meter,sign,sound,2,0
tree,root,old,4,1
snow,line,white,4,1
tire,reflector,old,4,1
sheep,ear,fat,2,0
bicycle,frame,high,4,1
plane,turbine,vertical,4,1
aircraft,tail,light,3,1
sand,track,fine,4,1
lighthouse,door,old,3,1
field,player,external,4,1
boat,canopy,open,1,0
clock,time,framed,4,1
bird,feather,beautiful,3,1
boat,tarp,white,2,0
fence,opening,white,2,0
leaf,tree,green,3,1
door,doorknob,heavy,1,0
bookcase,book,empty,1,0
bike,frame,old,3,1
tree,bark,old,3,1
branch,twig,thin,4,1
monkey,ear,old,4,1
ground,patch,white,3,1
plane,door,white,3,1
fence,pole,wooden,3,1
hat,band,old,4,1
zebra,mouth,dead,4,1
elephant,nail,red,1,0
polar bear,fur,tall,2,0
building,tower,tall,4,1
nose,nostril,black,4,1
floor,edge,bare,3,1
ear,hair,human,4,1
airplane,door,commercial,4,1
dove,foot,gentle,3,1
refrigerator,door,white,3,1
computer monitor,screen,off,4,1
building,tower,public,3,1
squirrel,nose,white,2,0
airplane,bottom,conventional,3,1
engine,roof,yellow,2,0
elephant,nose,red,4,1
suit,stripe,dark,1,0
bicycle,helmet,white,2,0
wave,splash,white,2,0
mixer,bowl,white,2,0
crust,bubble,hard,3,1
scale,dial,digital,4,1
train,lettering,silver,2,0
sidewalk,brick,wooden,1,0
skateboard,tire,red,2,0
baby,hat,grey,2,0
flower,stem,dark,2,0
floor,rug,bare,0,0
bed,rail,dry,3,1
horse,body,attached,3,1
shelf,item,high,4,1
airplane,smoke,american,4,1
guy,cap,poor,2,0
people,coat,young,2,0
child,cheek,young,4,1
elephant,tail,wild,4,1
building,entry,original,3,1
aircraft,tail,white,3,1
clock face,hand,handsome,3,1
window,pane,open,3,1
clock face,hand,beautiful,3,1
plate,dot,round,2,0
dog,tooth,dead,4,1
dog,blanket,shaggy,2,0
backpack,pocket,heavy,1,0
plane,door,vertical,3,1
building,sign,old,3,1
foot,toe,brown,3,1
surfboard,spot,short,2,0
toilet,water,white,2,0
cup,wine,black,2,0
cow,nose,white,2,0
window,reflection,broken,4,1
building,facade,public,4,1
shelf,item,long,2,0
girl,nose,old,4,1
player,hand,red,3,0
background,people,historical,2,0
cupboard,window,white,0,0
horse,collar,attached,4,1
motorbike,mirror,lightweight,3,1
window,line,square,0,0
refrigerator,side,tall,4,1
girl,skirt,old,2,0
train,track,long,4,1
dog,collar,white,2,0
bird,beak,white,2,0
banner,part,white,3,0
floor,edge,polished,3,1
racket,logo,red,2,0
laptop,light,open,0,0
hand,food,open,2,0
airplane,bottom,american,4,1
kite,tail,blue,2,0
jar,cap,empty,3,1
puppy,face,newborn,4,1
truck,side,white,3,1
wall,spot,lateral,2,0
utensil,handle,white,3,1
jar,cap,homemade,3,1
teddy,ear,old,4,1
paper,lettering,brown,1,0
building,stair,brown,2,0
phone,keyboard,white,3,1
fence,opening,low,3,1
lamb,back,young,4,1
tree,branch,old,3,1
elephant,face,young,4,1
fire hydrant,base,open,2,0
refrigerator,side,old,4,1
city,building,old,3,1
floor,pattern,bare,2,0
person,eye,human,3,1
person,waist,human,4,1
sign,white,black,0,0
truck,back,open,4,1
girl,skirt,beautiful,2,0
mixer,bowl,static,2,0
stand,wheel,strong,3,1
girl,jacket,pretty,2,0
glass,frame,empty,0,0
floor,pattern,grey,2,0
bed,rail,wooden,3,1
guy,helmet,old,2,0
apple,skin,fresh,4,1
glass,frame,colored,2,0
skateboard,wheel,motorized,4,1
cow,thigh,old,4,1
horse,leg,old,4,1
glass,drink,colored,2,0
refrigerator,door,open,4,1
bed,foot,comfortable,2,0
stand,wheel,metallic,2,0
aircraft,tail,german,4,1
leaf,tree,succulent,3,1
donut,hole,circular,4,1
counter,cabinet,black,3,1
horse,sock,black,2,0
water,ripple,warm,4,1
girl,belt,pretty,2,0
skateboard,shadow,giant,3,1
glass,frame,clear,2,0
woman,cheek,beautiful,4,1
wine bottle,top,plastic,3,1
zebra,mouth,young,4,1
bear,fish,fake,2,0
television,screen,american,4,1
plane,body,white,4,1
laptop,light,typical,3,1
woman,bracelet,beautiful,2,0
vehicle,wheel,yellow,1,0
shirt,blue,white,2,0
bookcase,shelf,wooden,4,1
concrete,line,broken,3,1
racket,letter,tremendous,2,0
freezer,handle,upright,4,1
boat,person,tiny,2,0
engine,roof,internal,0,0
suit,stripe,green,2,0
utensil,handle,plastic,3,1
bottle,liquid,plastic,0,0
bookcase,shelf,revolving,2,0
woman,jewelry,beautiful,2,0
apple,skin,rotten,3,1
tail,hair,grey,3,1
elephant,reflection,wild,2,1
girl,shadow,beautiful,2,0
toddler,eye,typical,3,1
lighthouse,door,white,2,0
cake,edge,round,4,1
window,pane,broken,3,1
oven,front,black,4,1
bridge,edge,metal,3,1
hill,peak,high,4,1
storefront,door,old,3,1
letter,part,long,2,0
giraffe,eye,tall,2,0
squirrel,nose,young,4,1
truck,crane,white,2,0
leaf,stem,succulent,3,1
apple,skin,golden,4,1
branch,twig,long,2,0
banner,writing,white,0,0
fork,tip,silver,4,1
bench,hole,long,2,0
bridge,edge,long,4,1
sand,track,wet,4,1
bus,bottom,old,4,1
sign,person,black,2,0
scissors,grip,curved,2,0
saddle,stirrup,old,4,1
bird,back,dead,4,1
statue,trunk,armless,2,0
building,stair,public,3,1
cell phone,screen,portable,4,1
girl,skirt,pretty,2,0
elephant,face,grey,4,1
table,glass,long,2,0
face,number,yellow,1,0
airplane,door,white,3,1
girl,belt,old,2,0
train,track,fast,2,0
car,glass,used,4,1
girl,coat,beautiful,2,0
giraffe,jaw,young,4,1
fence,opening,high,3,1
lake,edge,frozen,4,1
room,corner,empty,4,1
kid,jean,white,2,0
pond,water,stagnant,4,1
scissors,grip,sharp,0,0
duck,wing,white,3,1
wine bottle,top,broken,3,1
monitor,button,active,4,1
bear,neck,white,3,1
female,ring,young,2,0
vase,base,broken,3,0
cow,nose,dead,4,1
bike,plate,silver,2,0
car,edge,open,1,0
bathtub,edge,white,4,1
lighthouse,door,tall,2,0
television,screen,national,4,1
skateboard,shadow,green,0,0
tree,branch,hollow,1,0
people,ear,old,4,1
couch,leg,soft,1,0
truck,emblem,white,1,0
storefront,door,electronic,3,1
couch,leg,wooden,3,1
apple,end,golden,3,1
bed,foot,warm,2,0
shirt,patch,white,2,0
kite,design,long,3,1
refrigerator,dispenser,mechanical,4,1
