title,url,HITId,whole,part,jj,result1,worker1,result2,worker2,result3,worker3
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,371DNNCG442FXXKI9JFHBN166NH8TL,vehicle,light,silver,unrelated,A3SXNRM8UV25U8,unrelated,A3FAQHVPI8OUP0,impossible,A1WO02U2RCFZRF
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,371DNNCG442FXXKI9JFHBN166NH8TL,vehicle,light,primary,impossible,A3SXNRM8UV25U8,wjj-nonsense,A3FAQHVPI8OUP0,guaranteed,A1WO02U2RCFZRF
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,371DNNCG442FXXKI9JFHBN166NH8TL,vehicle,light,important,unrelated,A3SXNRM8UV25U8,probably,A3FAQHVPI8OUP0,guaranteed,A1WO02U2RCFZRF
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,38O9DZ0A62NY9K7HXPYNQMWP0FE625,vehicle,light,electric,guaranteed,A2JTNU18N5Q29B,unrelated,A1GQHY35SAXVIW,probably,A3ONHL5P67228U
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,38O9DZ0A62NY9K7HXPYNQMWP0FE625,vehicle,light,suitable,unrelated,A2JTNU18N5Q29B,probably,A1GQHY35SAXVIW,probably,A3ONHL5P67228U
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,38O9DZ0A62NY9K7HXPYNQMWP0FE625,vehicle,light,yellow,unrelated,A2JTNU18N5Q29B,unrelated,A1GQHY35SAXVIW,unrelated,A3ONHL5P67228U
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3H781YYV6TIW6YU9MM1H3XXSHQETE4,he,glass,brown,unrelated,A2JTNU18N5Q29B,unrelated,A1VNV1899K7L05,unlikely,A263D0NONXWQID
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3LB1BGHFL2WUC3B0MNDBA0P8Z2JYTO,beak,tip,hooked,probably,A2JTNU18N5Q29B,probably,A1TLKBW8KT7L6F,probably,A20P9ZDANO7YEK
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3LB1BGHFL2WUC3B0MNDBA0P8Z2JYTO,beak,tip,curved,probably,A2JTNU18N5Q29B,probably,A1TLKBW8KT7L6F,probably,A20P9ZDANO7YEK
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3LB1BGHFL2WUC3B0MNDBA0P8Z2JYTO,beak,tip,long,unrelated,A2JTNU18N5Q29B,probably,A1TLKBW8KT7L6F,impossible,A20P9ZDANO7YEK
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3GMLHYZ0LEX9CGQPMS3LFWBAIGQYUF,beak,tip,sharp,guaranteed,A3FAQHVPI8OUP0,guaranteed,A10T7RVRB7EDOC,guaranteed,A2EDGL9NBR4G4N
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3GMLHYZ0LEX9CGQPMS3LFWBAIGQYUF,beak,tip,open,guaranteed,A3FAQHVPI8OUP0,guaranteed,A10T7RVRB7EDOC,impossible,A2EDGL9NBR4G4N
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3GMLHYZ0LEX9CGQPMS3LFWBAIGQYUF,beak,tip,orange,probably,A3FAQHVPI8OUP0,probably,A10T7RVRB7EDOC,unlikely,A2EDGL9NBR4G4N
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,37M4O367VJISXKBW2O72DPWNAPJM5V,swan,head,wild,guaranteed,A3SXNRM8UV25U8,unrelated,A357C0NLWK75L0,guaranteed,A2JTNU18N5Q29B
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,37M4O367VJISXKBW2O72DPWNAPJM5V,swan,head,beautiful,probably,A3SXNRM8UV25U8,probably,A357C0NLWK75L0,probably,A2JTNU18N5Q29B
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,37M4O367VJISXKBW2O72DPWNAPJM5V,swan,head,white,unrelated,A3SXNRM8UV25U8,unlikely,A357C0NLWK75L0,unrelated,A2JTNU18N5Q29B
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,36818Z1KV3DOH4F3R2T4P1332C43A3,tree,bark,green,unlikely,A1NKU32ZOKD2RC,unlikely,A1TLKBW8KT7L6F,unrelated,A3RCBCLDULJBVF
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,36818Z1KV3DOH4F3R2T4P1332C43A3,tree,bark,hollow,impossible,A1NKU32ZOKD2RC,unrelated,A1TLKBW8KT7L6F,unlikely,A3RCBCLDULJBVF
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,36818Z1KV3DOH4F3R2T4P1332C43A3,tree,bark,old,guaranteed,A1NKU32ZOKD2RC,guaranteed,A1TLKBW8KT7L6F,guaranteed,A3RCBCLDULJBVF
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3SD15I2WD2UNU2301PCS9W1H6TE63G,tree,bark,tall,impossible,A3SXNRM8UV25U8,probably,A2N06OHG0MT9C0,unrelated,A1GQHY35SAXVIW
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3Z56AA6EK40OGOBA77H75VAN6KUM6B,cup,stem,empty,unrelated,A1TLKBW8KT7L6F,unrelated,A3RCBCLDULJBVF,guaranteed,A1Q95I8KW0XZTX
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3Z56AA6EK40OGOBA77H75VAN6KUM6B,cup,stem,silver,unrelated,A1TLKBW8KT7L6F,unrelated,A3RCBCLDULJBVF,probably,A1Q95I8KW0XZTX
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3Z56AA6EK40OGOBA77H75VAN6KUM6B,cup,stem,plastic,probably,A1TLKBW8KT7L6F,probably,A3RCBCLDULJBVF,guaranteed,A1Q95I8KW0XZTX
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3XH7ZM9YX2U2VNQ0AMG0B4VZ281R9F,cup,stem,hot,wjj-nonsense,ARIBVG7WV64QM,unlikely,A3RCBCLDULJBVF,probably,AENJ7GDYBENYX
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3XH7ZM9YX2U2VNQ0AMG0B4VZ281R9F,cup,stem,blue,wjj-nonsense,ARIBVG7WV64QM,unrelated,A3RCBCLDULJBVF,probably,AENJ7GDYBENYX
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3H5TOKO3D9J8CYM413HBJ1TNKTA641,elephant,skin,gold,guaranteed,A1WO02U2RCFZRF,unlikely,A1TLKBW8KT7L6F,guaranteed,AENJ7GDYBENYX
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3H5TOKO3D9J8CYM413HBJ1TNKTA641,elephant,skin,young,guaranteed,A1WO02U2RCFZRF,guaranteed,A1TLKBW8KT7L6F,guaranteed,AENJ7GDYBENYX
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3H5TOKO3D9J8CYM413HBJ1TNKTA641,elephant,skin,grey,guaranteed,A1WO02U2RCFZRF,guaranteed,A1TLKBW8KT7L6F,guaranteed,AENJ7GDYBENYX
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,32CXT5U14G3UXAZ79O5RGJN8P1O8UC,elephant,skin,wild,impossible,A1VNV1899K7L05,pw-nonsense,A1C9MQCM0J4F1T,probably,A1GQHY35SAXVIW
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,36FQTHX3Z3RT0EKVXGT0KCN9KUP3BY,airport,airplane,commercial,probably,A3SXNRM8UV25U8,unrelated,A2JTNU18N5Q29B,unrelated,AENJ7GDYBENYX
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,36FQTHX3Z3RT0EKVXGT0KCN9KUP3BY,airport,airplane,long,unlikely,A3SXNRM8UV25U8,unrelated,A2JTNU18N5Q29B,unrelated,AENJ7GDYBENYX
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3R6RZGK0XFC9PVFPRIDQBIDTWNZYV4,engine,door,powerful,unrelated,A2JTNU18N5Q29B,unrelated,A1C9MQCM0J4F1T,unrelated,A1XI2BU5NXB72E
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3R6RZGK0XFC9PVFPRIDQBIDTWNZYV4,engine,door,old,probably,A2JTNU18N5Q29B,probably,A1C9MQCM0J4F1T,unrelated,A1XI2BU5NXB72E
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3R6RZGK0XFC9PVFPRIDQBIDTWNZYV4,engine,door,internal,impossible,A2JTNU18N5Q29B,impossible,A1C9MQCM0J4F1T,impossible,A1XI2BU5NXB72E
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,39XCQ6V3KY4Q8HQ4F80LOTZ1KP5656,engine,door,stationary,probably,A1TLKBW8KT7L6F,probably,A2JTNU18N5Q29B,guaranteed,A1GQHY35SAXVIW
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,39XCQ6V3KY4Q8HQ4F80LOTZ1KP5656,engine,door,blue,unrelated,A1TLKBW8KT7L6F,unrelated,A2JTNU18N5Q29B,probably,A1GQHY35SAXVIW
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3D4BBDG7ZHWCAJC1BGPVVWTR2FP3C5,bear,hump,white,unrelated,A3SXNRM8UV25U8,probably,A2JTNU18N5Q29B,probably,A2EDGL9NBR4G4N
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,31GECDVA9JMMRLQIKRAQGZD1GKG66M,she,hair,her,wjj-nonsense,A10T7RVRB7EDOC,impossible,A1VNV1899K7L05,guaranteed,A2NHPETX25VH3Q
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,31GECDVA9JMMRLQIKRAQGZD1GKG66M,she,hair,beautiful,probably,A10T7RVRB7EDOC,unrelated,A1VNV1899K7L05,guaranteed,A2NHPETX25VH3Q
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3I7SHAD35MW7KOPFQHMZB9AJ1VEM7A,laptop,speaker,typical,guaranteed,A10T7RVRB7EDOC,impossible,A1WO02U2RCFZRF,unrelated,A2JTNU18N5Q29B
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3I7SHAD35MW7KOPFQHMZB9AJ1VEM7A,laptop,speaker,old,probably,A10T7RVRB7EDOC,unrelated,A1WO02U2RCFZRF,unrelated,A2JTNU18N5Q29B
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3I7SHAD35MW7KOPFQHMZB9AJ1VEM7A,laptop,speaker,wireless,unlikely,A10T7RVRB7EDOC,unlikely,A1WO02U2RCFZRF,unrelated,A2JTNU18N5Q29B
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,34HEO7RUG6UG06052SU07Z6J8QJRAU,laptop,speaker,open,impossible,A3SXNRM8UV25U8,unrelated,A2JTNU18N5Q29B,impossible,A1XI2BU5NXB72E
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,34HEO7RUG6UG06052SU07Z6J8QJRAU,laptop,speaker,black,unrelated,A3SXNRM8UV25U8,unrelated,A2JTNU18N5Q29B,probably,A1XI2BU5NXB72E
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3KI0JD2ZU1I5VL4N31FIMDDXBV067L,toy,ear,classic,unrelated,A12KFSO8SRIJ0J,probably,A2JTNU18N5Q29B,guaranteed,AGR2W4LD01J4J
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3KI0JD2ZU1I5VL4N31FIMDDXBV067L,toy,ear,mechanical,unrelated,A12KFSO8SRIJ0J,unrelated,A2JTNU18N5Q29B,guaranteed,AGR2W4LD01J4J
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3KI0JD2ZU1I5VL4N31FIMDDXBV067L,toy,ear,pretty,probably,A12KFSO8SRIJ0J,unrelated,A2JTNU18N5Q29B,guaranteed,AGR2W4LD01J4J
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,34O39PNDK68LJG5X86UW2AQPQ84RBP,toy,ear,rabbit,guaranteed,A2JTNU18N5Q29B,probably,A1C9MQCM0J4F1T,guaranteed,AENJ7GDYBENYX
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,34O39PNDK68LJG5X86UW2AQPQ84RBP,toy,ear,broken,unrelated,A2JTNU18N5Q29B,unrelated,A1C9MQCM0J4F1T,unlikely,AENJ7GDYBENYX
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3KTZHH2ONIFBK2UY0ME5P96ECFKM8X,woman,lip,poor,impossible,A3OMNUAM8T27ZX,guaranteed,A1NKU32ZOKD2RC,impossible,AENJ7GDYBENYX
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3KTZHH2ONIFBK2UY0ME5P96ECFKM8X,woman,lip,beautiful,unrelated,A3OMNUAM8T27ZX,guaranteed,A1NKU32ZOKD2RC,probably,AENJ7GDYBENYX
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3BDORL6HKKD4TLX3M6QRDUW78T4RCW,tree,leave,green,pw-nonsense,A12KFSO8SRIJ0J,unrelated,A2N06OHG0MT9C0,probably,A10T7RVRB7EDOC
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3BDORL6HKKD4TLX3M6QRDUW78T4RCW,tree,leave,old,word-nonsense,A12KFSO8SRIJ0J,impossible,A2N06OHG0MT9C0,probably,A10T7RVRB7EDOC
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3DW3BNF1GHIUAPO7EEFWC5PR38X8V1,poster,writing,original,guaranteed,A1WO02U2RCFZRF,unrelated,A3SXNRM8UV25U8,unrelated,A1GQHY35SAXVIW
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3DW3BNF1GHIUAPO7EEFWC5PR38X8V1,poster,writing,informational,guaranteed,A1WO02U2RCFZRF,probably,A3SXNRM8UV25U8,probably,A1GQHY35SAXVIW
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3DW3BNF1GHIUAPO7EEFWC5PR38X8V1,poster,writing,political,guaranteed,A1WO02U2RCFZRF,unrelated,A3SXNRM8UV25U8,unrelated,A1GQHY35SAXVIW
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3BC9H1KCYUCM4KFUHSIMXKW73W1YWE,poster,writing,white,unlikely,A1TLKBW8KT7L6F,impossible,A3FAQHVPI8OUP0,impossible,A3ONHL5P67228U
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,32PT7WK7DMFMFBIFBCK6F2B9NF13D5,jacket,lining,white,unrelated,A1C9MQCM0J4F1T,unrelated,A3ONHL5P67228U
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3M47JKRKCX19VZ96D67O0D9SMF6688,giraffe,back,young,guaranteed,A2JTNU18N5Q29B,guaranteed,A1HZXKVQSWNKRA,guaranteed,A10T7RVRB7EDOC
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3M47JKRKCX19VZ96D67O0D9SMF6688,giraffe,back,brown,unrelated,A2JTNU18N5Q29B,probably,A1HZXKVQSWNKRA,probably,A10T7RVRB7EDOC
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3M47JKRKCX19VZ96D67O0D9SMF6688,giraffe,back,tall,probably,A2JTNU18N5Q29B,guaranteed,A1HZXKVQSWNKRA,unlikely,A10T7RVRB7EDOC
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3HUR21WDDUP1TKKKRXE8Z3AECY7YX7,jet,tip,black,probably,A2JTNU18N5Q29B,unrelated,A10T7RVRB7EDOC,unrelated,A1VNV1899K7L05
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3HUR21WDDUP1TKKKRXE8Z3AECY7YX7,jet,tip,private,guaranteed,A2JTNU18N5Q29B,impossible,A10T7RVRB7EDOC,impossible,A1VNV1899K7L05
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3HUR21WDDUP1TKKKRXE8Z3AECY7YX7,jet,tip,free,wjj-nonsense,A2JTNU18N5Q29B,guaranteed,A10T7RVRB7EDOC,impossible,A1VNV1899K7L05
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3X2LT8FDHWI7PEOC4OKSY785AHZ8WB,bear,shirt,stuffed,unrelated,A1VNV1899K7L05,unrelated,A357C0NLWK75L0,unlikely,A263D0NONXWQID
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3X2LT8FDHWI7PEOC4OKSY785AHZ8WB,bear,shirt,white,unrelated,A1VNV1899K7L05,probably,A357C0NLWK75L0,unrelated,A263D0NONXWQID
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3ZCC2DXSD74QTPAUWT0AIHHNE41YYD,cow,chain,old,impossible,A4XB9OF4LFHWF,unrelated,A1WO02U2RCFZRF,unrelated,A1GQHY35SAXVIW
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3ZCC2DXSD74QTPAUWT0AIHHNE41YYD,cow,chain,dead,impossible,A4XB9OF4LFHWF,impossible,A1WO02U2RCFZRF,impossible,A1GQHY35SAXVIW
Common sense visual reasoning ,https://worker.mturk.com/mturk/preview?groupId=3T1550FWKJIY9FNWV26UOOAMAQKWX1,3ZCC2DXSD74QTPAUWT0AIHHNE41YYD,cow,chain,white,unlikely,A4XB9OF4LFHWF,unlikely,A1WO02U2RCFZRF,unlikely,A1GQHY35SAXVIW
